,href,Date,City,State,Country,Shape,Summary,Reported,Media,Explanation
0,https://nuforc.org//sighting/?id=182915,09/03/2024 20:30,Northampton,MA,USA,Diamond,Sighting of a black diamond shaped flying object about 30' wide with lights on each corner,,,
1,https://nuforc.org//sighting/?id=182888,09/02/2024 00:20,Chelyan,WV,USA,Changing,Driving S on Rt. 61 I noticed the clouds towards the SE were emitting this almost neon/electric blue color from behind it. Got a video,,Y,
2,https://nuforc.org//sighting/?id=182855,08/31/2024 23:45,Nacogdoches,TX,USA,Other,V shaped UFO,,,
3,https://nuforc.org//sighting/?id=182863,08/28/2024 23:00,,,International Waters,Light,Up to six satellite appearing lights under and to west of Big Dipper tail,,Y,
4,https://nuforc.org//sighting/?id=182756,08/23/2024 12:07,Boston,MA,USA,Star,Viewed from the flight deck by both pilots and a cabin crew,,,
5,https://nuforc.org//sighting/?id=182743,08/22/2024 21:48,Salem,IN,USA,Triangle,Large bright blue/white lights shined down right on top of us. I told my friend from Louisille to check herself for burns lonight,,,Meteor?
6,https://nuforc.org//sighting/?id=182671,08/15/2024 23:58,Sterling,Illinois,United States,Orb,My Co-pilot a former Airforce pilot pointed out 3 objects to my attention.,,,
7,https://nuforc.org//sighting/?id=182905,08/15/2024 00:28,Chester,NY,USA,Orb,"3 orbs appear out of thin air in a flash, fly low & fast in triangle formation, begin spiraling around each other, then vanishes",,,
8,https://nuforc.org//sighting/?id=182661,08/14/2024 22:00,Buffalo,NY,USA,Triangle,"Two triangular craft. At jet altitude, below clouds. Hovering over Canadian side of the Lake",,,
9,https://nuforc.org//sighting/?id=182982,08/14/2024 00:00,Mesquite,TX,USA,Triangle,"I saw a black triangle craft with one white light directly in the middle, and a red blinking light on its right hand side.",,,
10,https://nuforc.org//sighting/?id=182552,08/01/2024 03:40,Fort Edward,NY,USA,Cigar,Bright green cigar shaped craft flies past our plane,,,
11,https://nuforc.org//sighting/?id=182456,08/01/2024 00:25,Sylvan Lake,AB,Canada,Triangle,A triangle craft with 5 circle lights around flew over my house slowly.,,,
12,https://nuforc.org//sighting/?id=182498,07/30/2024 13:35,Deer Park,WA,USA,Oval,Craft Flying Just Above The Trees No Sound,,,
13,https://nuforc.org//sighting/?id=182416,07/29/2024 01:15,Spring,TX,USA,Triangle,"The craft was a large black triangle. The underside had red lights on all 3 points, with a large white light in the middle.",,Y,
14,https://nuforc.org//sighting/?id=182418,07/27/2024 12:15,Hampstead,NC,USA,Cylinder,"Aircraft reports unlit, solid cylindrical object oriented vertically, moving horizontally",,,
15,https://nuforc.org//sighting/?id=182373,07/23/2024 20:15,Wausau,WI,USA,Oval,"I was driving eastbound on ""Z"" and I saw a large gray oval flying very low in the distance, barely above the trees flying northbound.",,,
16,https://nuforc.org//sighting/?id=182335,07/19/2024 23:35,Watervliet,NY,USA,Cylinder,"Cylindrical / Pill shaped object with a reddish/blueish lights hovering, no sound, rapidly left",,,
17,https://nuforc.org//sighting/?id=182286,07/14/2024 22:00,Lebanon,TN,USA,Triangle,"Unmoving at first, then flew at us and hovered over the car and froze. Then flew away slowly to the right and out of sight.",,Y,
18,https://nuforc.org//sighting/?id=182278,07/12/2024 11:00,Eagle Grove,IA,USA,Rectangle,20 foot drone-like box.,,,
19,https://nuforc.org//sighting/?id=182235,07/09/2024 21:45,Sarasota,FL,USA,Triangle,"Slow moving, hovering low, just above the telephone poles and tree line. Solid black triangle with 3 lights on the bottom.",,Y,
20,https://nuforc.org//sighting/?id=182039,06/21/2024 10:30,Richland,TX,USA,Flash,"Clear night brightest light ever seen don’t know how long it was there, just remember a white and blue beam and it disappeared",,,
21,https://nuforc.org//sighting/?id=181953,06/16/2024 14:59,Anchor Point,AK,USA,Cigar,Large object hovering over summit of Redoubt volcano,,Y,
22,https://nuforc.org//sighting/?id=182083,06/11/2024 00:31,,,Unspecified,Orb,"Lights in low earth orbit illuminating brightly then fading, staying stationary, then moving in multiple directions, then orbiting",,,
23,https://nuforc.org//sighting/?id=181847,06/10/2024 23:30,Summerfield,NC,USA,Triangle,Bright Triangle Craft Hovering Next to Cloud,,Y,
24,https://nuforc.org//sighting/?id=181846,06/10/2024 21:00,Ocala,FL,USA,Changing,Group observed a helicopter circling a lighted object for several minutes. Object changed shape and departed rapidly to the east.,,,
25,https://nuforc.org//sighting/?id=181776,06/05/2024 01:00,Golden,CO,USA,Disk,We saw a large disc shaped craft with three levels of windows. It hovered silently and then disappeared into thin air.,,,
26,https://nuforc.org//sighting/?id=182372,05/19/2024 21:00,Cape Coral,FL,USA,Other,Circular ended triangle craft,,Y,
27,https://nuforc.org//sighting/?id=181495,05/12/2024 20:58,Los Médanos,Baja California,Mexico,Cylinder,"We observed a very large (500-1500 ft long), dark, unlit, flying object flying below 10,000 ft down the Chico valley.",,,
28,https://nuforc.org//sighting/?id=181488,05/10/2024 21:00,Clewiston,FL,USA,Light,We saw 2 extremely bright lights 50 feet off the ground going past us heading south,,,
29,https://nuforc.org//sighting/?id=182107,04/28/2024 21:00,Las Vegas,NV,USA,Light,"6 Golden Lights flashing Red, Blue, Green, Hovering over NW Desert near Golf Coarse / Creech AFB",,Y,
30,https://nuforc.org//sighting/?id=181256,04/24/2024 03:00,,,International Waters,Light,Multiple objects above our altitude.,,Y,
31,https://nuforc.org//sighting/?id=181673,04/13/2024 23:45,Menomonie,WI,USA,Triangle,Walking home 11:30-12:00. Sat on bench halfway home and noticed triangle of lights in sky. Could see the outline of object.,,Y,
32,https://nuforc.org//sighting/?id=181169,04/12/2024 21:56,Navarre,FL,USA,Triangle,"Triangle object, 16 visible lights, craft left line of sight without flying over horizon, instead appearing to leave orbit",,Y,
