href,Date,City,State,Country,Shape,Summary,Reported,Media,Explanation
https://nuforc.org//sighting/?id=226 ,12/29/1994 21:45,La Crosse,WA,USA,Chevron,"Three seemingly identical black, delta-shaped, ships with a very bright yellow or white ""headlight.""",,Y,
https://nuforc.org//sighting/?id=250 ,01/07/1995 17:30,McMinnville,TN,USA,,"TN Emer. Man. Agency reports UFO-related flash/explosion near McMinnville, TN.  8-page fax from sheriff's office. Fed. agents.",,,
https://nuforc.org//sighting/?id=753 ,08/25/1995 00:40,Adamsville,PA,USA,,"Mother, daughter, friend witness huge, lighted ball streak overhead.  ""Turned whole sky blue.""  Flew N to S.  Size of full moon.",,,
https://nuforc.org//sighting/?id=770 ,08/25/1995 01:30,Breezewood,PA,USA,,"Prof. race car driver encounters bizarre, bright blue obj. hovering above ground in lonely valley.  Obj. strobes blue, green, streaks",,,
https://nuforc.org//sighting/?id=835 ,09/15/1995 22:00,New York City,NY,USA,,"Woman reports many passengers aboard Staten Isl. ferry witness huge craft rise from, roil water!  Excellent report!  Video prepared.",,,
https://nuforc.org//sighting/?id=2047 ,05/27/1997 11:33,,,Australia,Rectangle,a black metallic mass that looked similar to an aircraft carrier on its side (approx length 1500ft long-200-400ft across),,,
https://nuforc.org//sighting/?id=2496 ,07/04/1997 22:00,"Granite City (5min.from St.Louis,MO.)",IL,USA,Light,A blue-green light moved so fast across the sky I had to turn my head to keep up with it.,,,
https://nuforc.org//sighting/?id=4192 ,09/03/1967 21:00,Crestone (near Alamosa),CO,USA,Fireball,"Saw 3 house size balls of fire come straight down, turn to fly horizontal straight at us for 40 miles in 3-4 seconds then pass out of s",,,
https://nuforc.org//sighting/?id=9958 ,06/15/1977 03:00,"U.S.Navy-USS Glover AGFF-1-Burmuda Triangle, FL",,Puerto Rico/Burmuda (between),Circle,"I was on watch above the bridge port side when a bright red,orange-round object came out of the sky & approached our ship.The starboard",,,
https://nuforc.org//sighting/?id=27412 ,01/24/2003 18:13,Kingston (Canada),ON,Canada,Triangle,black equilateral triangle with 3 glowing white dome lights at tips... directly above my car,,Y,
https://nuforc.org//sighting/?id=28309 ,03/08/2003 20:15,Greenbelt area,MD,USA,Chevron,"Totally Silent 'Flying Wing' Seen Twice Within D.C. Beltway, March 8, 2003",,Y,
https://nuforc.org//sighting/?id=28647 ,05/01/2003 22:00,Seattle (West Seattle),WA,USA,Triangle,"Silent, triangular craft sighted over West Seattle",,Y,
https://nuforc.org//sighting/?id=28653 ,02/16/2003 23:00,Seattle (Juanita area),WA,USA,,"I saw a  GIGANTIC jet black triangle, with lights, come very slowly towards me",,Y,
https://nuforc.org//sighting/?id=29019 ,06/15/1978 21:00,Mancelona,MI,USA,Disk,"We thought our foster daughter was kidding us, until we saw the metallic saucer shaped object humming loudly over the Michigan farmland",,Y,
https://nuforc.org//sighting/?id=29623 ,05/29/1971 21:00,Palos Verde (northeast of),CA,USA,Sphere,"There seemed to be no dissipation of the glow coming from the sphere. It surrounded it, stretched in one direction and stopped!?",,,
https://nuforc.org//sighting/?id=29665 ,07/06/2003 00:00,Undisclosed,,Unspecified,Unknown,"HBCCUFO CANADIAN REPORT:  Pictures Of An Unknown Craft, Daylight Sighting.",,,
https://nuforc.org//sighting/?id=30517 ,05/15/1977 08:00,Elmont,VA,USA,Disk,silver disk near Elmont Elementary School in 1977,,,
https://nuforc.org//sighting/?id=31563 ,09/17/2003 20:30,Atlanta,GA,USA,Egg,"Floating, silent panel of lights",,Y,
https://nuforc.org//sighting/?id=34306 ,01/04/2004 14:30,Fort Myers,FL,USA,Disk,"A silver disk with a bulge on one face, maybe 30 feet across, reflected sunlight and bobbed around at 3-5000 feet.",,Y,
https://nuforc.org//sighting/?id=35767 ,03/17/2004 12:15,Santa Monica,CA,USA,Sphere,The craft came from the West out over the Pacific Ocean.  It was flying much higher than the Commercial Jet Traffic over Los Angeles.,,Y,
https://nuforc.org//sighting/?id=35806 ,05/20/1978 17:00,Atlantic Ocean/Caribbean sea,,Unspecified,Unknown,Supersonic clouds,,,
https://nuforc.org//sighting/?id=36100 ,04/10/2004 06:00,,CO,USA,,10 silver disks moving rapidly along the front range in colorado springs,,,
https://nuforc.org//sighting/?id=38086 ,04/02/1983 00:00,dont know,,Unspecified,,"Hi,  I’m writing to you because I wanted to talk to someone professional about my experiences. Never have I heard anyone talk about wha",,,
https://nuforc.org//sighting/?id=41489 ,01/12/2005 19:05,Lancaster,CA,USA,Triangle,Triangular craft flies over highway... low altitude... then disappears only to reappear later,,Y,
https://nuforc.org//sighting/?id=42312 ,04/01/1945 10:00,Pacific Ocean,,Unspecified,Disk,"April, 1945 I saw a disc over our ship, all day as we neard Okinawa.",,,
https://nuforc.org//sighting/?id=43302 ,03/01/1994 02:00,"Atlantic Ocean (inflight, USN P-3)",,Atlantic Ocean,Cylinder,Dramatic P-3 Orion Encounter,,,
https://nuforc.org//sighting/?id=43303 ,04/10/1974 07:10,Hallsville,OH,USA,Sphere,Lighted sphere observed hovering in morning sky.,,,
https://nuforc.org//sighting/?id=43465 ,04/09/2005 19:09,Sidney,TX,USA,Triangle,English words identified on black triangular craft.,,Y,
https://nuforc.org//sighting/?id=43933 ,05/13/2005 00:18,Kirkland,WA,USA,Triangle,Black Triangle,,Y,
https://nuforc.org//sighting/?id=45433 ,04/01/1998 03:00,,,Unspecified,Triangle,"Around five years ago, while on one of my many engineering rated work assignments, I spotted three very large triangular objects",,,
https://nuforc.org//sighting/?id=46249 ,06/02/2005 18:00,St. Louis,MO,USA,Cylinder,"Bizarre, shiny, cylindrical object that moved intelligently for 15 minutes in broad daylight (St. Louis).",,Y,
https://nuforc.org//sighting/?id=46868 ,06/26/1972 10:00,Fort Beaufort (South Africa),,South Africa,Egg,Police officers fire shots at UFO in South Africa,,,
https://nuforc.org//sighting/?id=53115 ,10/27/2006 20:00,Hutchinson,KS,USA,Triangle,"Big, silent V-shaped craft with about 8 circle shaped  very dark dimmed lights or windows fly over home.",,Y,
https://nuforc.org//sighting/?id=54781 ,08/15/2005 21:00,USS Enterprise (at sea),,Unspecified,,Unknown craft lands on carrier deck.,,,
https://nuforc.org//sighting/?id=56012 ,03/30/2007 14:15,Rockville,MD,USA,Cigar,"I was taking a break and laying on the sidewalk in front of our office looking straight up into the sky. The weather was clear, visibil",,Y,
https://nuforc.org//sighting/?id=56407 ,02/10/1999 23:00,Lake Makokibatan (Canada),ON,Canada,Orb,Orange sphere descends and touches surface of wilderness lake.,,,
https://nuforc.org//sighting/?id=61043 ,01/08/2008 19:00,Salado,TX,USA,Formation,Very immense in size. Maybe related to stepheville sighting,,,
https://nuforc.org//sighting/?id=61591 ,12/21/2007 22:00,Flushing,NY,USA,Triangle,Triangle shaped object with red lights in New York,,Y,
https://nuforc.org//sighting/?id=62711 ,06/01/1950 16:00,Philadelphia,MS,USA,Disk,Childhood sighting of disk witnessed by mother and sons.,,,
https://nuforc.org//sighting/?id=64261 ,07/02/2008 16:20,Lexington,KY,USA,Cross,Transparent  cross shaped object  at high altitude caught glare from sun and vanished seconds later,,Y,
https://nuforc.org//sighting/?id=64323 ,07/04/2008 22:35,Excelsior,MN,USA,Formation,"Formation of 10 to 12 square shaped objects observed over Excelsior, MN",,Y,
https://nuforc.org//sighting/?id=67734 ,10/01/1981 20:00,Hesperia,MI,USA,Oval,Two people in car see green oval object and lost time,,,
https://nuforc.org//sighting/?id=68600 ,12/19/1999 15:00,Rio Piedras,PR,USA,Rectangle,A huge rectangular craft with metal ibeams containg a yellow cylinder     I was on the roof of my house  about to clean the leaves wh,,,
https://nuforc.org//sighting/?id=75647 ,06/01/2010 22:56,Rouyn-Noranda,QC,Canada,Triangle,Black triangle / lights formation in triangle shape sighting with sound,,Y,
https://nuforc.org//sighting/?id=75667 ,06/02/2010 21:10,Tempe,AZ,USA,Disk,"Saucer shape, flying over Tempe, 6-7 white lights making a pattern as flew south. June 2, 2010 at apx, 9:10pm.",,Y,
https://nuforc.org//sighting/?id=76914 ,05/22/1973 23:00,"Atlantic Ocean (USCG Cutter ""Spencer"")",,Unspecified,,UFO sighting aboard Coast Guard Cutter Spencer,,,
https://nuforc.org//sighting/?id=77132 ,08/11/2010 01:00,Kent,WA,USA,Triangle,"Triangle UFO witnessed in Kent, Washinton at about 1am on Wednesday morning, 8/11/10.",,Y,
https://nuforc.org//sighting/?id=81213 ,05/08/2011 22:30,Bayfield,CO,USA,Diamond,"Diamond-shaped craft near Bayfield, CO.",,Y,
https://nuforc.org//sighting/?id=85621 ,11/16/2011 18:00,Berlin,WI,USA,Circle,Row of vertical rectangular lights framed by darkness illuminated a circular matte gray object.,,Y,
https://nuforc.org//sighting/?id=87319 ,04/28/2011 15:30,Singapore/Borneo (between) (in flight),,Singapore,Triangle,Black triangular object seen overtaking airplane during flight in Southeast Asia,,,
https://nuforc.org//sighting/?id=97928 ,05/22/2013 06:30,In flight,,Unspecified,Sphere,Unexplained glowing sphere in-flight en-route to LAX.  ((NUFORC Note:  Report from airline pilot.  PD)),,,
